Number of prospects entering the Quiz Funnel,Cost per Prospect Entering the Quiz Funnel,Lead Conversion Rate,Sales per Lead,Break-even Product Price,Number of generated leads,Number of Sales,Initial Ad Investment,Revenue
1500,0.4,0.24000000000000002,0.16,10.416666666666666,360,57.6,600,600
1500,0.5,0.3,0.16,10.416666666666666,450,72,750,750
2000,0.4,0.24000000000000002,0.16,10.416666666666666,480.00000000000006,76.80000000000001,800,800.0000000000001
2000,0.5,0.3,0.16,10.416666666666666,600,96,1000,1000
2500,0.4,0.24000000000000002,0.16,10.416666666666666,600,96,1000,1000
2500,0.5,0.3,0.16,10.416666666666666,750,120,1250,1250
3000,0.4,0.24000000000000002,0.16,10.416666666666666,720,115.2,1200,1200
3000,0.5,0.3,0.16,10.416666666666666,900,144,1500,1500
3500,0.4,0.24000000000000002,0.16,10.416666666666666,840.0000000000001,134.40000000000003,1400,1400.0000000000002
3500,0.5,0.3,0.16,10.416666666666666,1050,168,1750,1750
4000,0.4,0.24000000000000002,0.16,10.416666666666666,960.0000000000001,153.60000000000002,1600,1600.0000000000002
4000,0.5,0.3,0.16,10.416666666666666,1200,192,2000,2000
4500,0.4,0.24000000000000002,0.16,10.416666666666666,1080,172.8,1800,1800
4500,0.5,0.3,0.16,10.416666666666666,1350,216,2250,2250
5000,0.4,0.24000000000000002,0.16,10.416666666666666,1200,192,2000,2000
5000,0.5,0.3,0.16,10.416666666666666,1500,240,2500,2500
5500,0.4,0.24000000000000002,0.16,10.416666666666666,1320,211.20000000000002,2200,2200
5500,0.5,0.3,0.16,10.416666666666666,1650,264,2750,2750
6000,0.4,0.24000000000000002,0.16,10.416666666666666,1440,230.4,2400,2400
6000,0.5,0.3,0.16,10.416666666666666,1800,288,3000,3000
6500,0.4,0.24000000000000002,0.16,10.416666666666666,1560.0000000000002,249.60000000000005,2600,2600.0000000000005
6500,0.5,0.3,0.16,10.416666666666666,1950,312,3250,3250
7000,0.4,0.24000000000000002,0.16,10.416666666666666,1680.0000000000002,268.80000000000007,2800,2800.0000000000005
7000,0.5,0.3,0.16,10.416666666666666,2100,336,3500,3500
7500,0.4,0.24000000000000002,0.16,10.416666666666666,1800.0000000000002,288.00000000000006,3000,3000.0000000000005
7500,0.5,0.3,0.16,10.416666666666666,2250,360,3750,3750
8000,0.4,0.24000000000000002,0.16,10.416666666666666,1920.0000000000002,307.20000000000005,3200,3200.0000000000005
8000,0.5,0.3,0.16,10.416666666666666,2400,384,4000,4000
8500,0.4,0.24000000000000002,0.16,10.416666666666666,2040.0000000000002,326.40000000000003,3400,3400
8500,0.5,0.3,0.16,10.416666666666666,2550,408,4250,4250
9000,0.4,0.24000000000000002,0.16,10.416666666666666,2160,345.6,3600,3600
9000,0.5,0.3,0.16,10.416666666666666,2700,432,4500,4500
9500,0.4,0.24000000000000002,0.16,10.416666666666666,2280,364.8,3800,3800
9500,0.5,0.3,0.16,10.416666666666666,2850,456,4750,4750
10000,0.4,0.24000000000000002,0.16,10.416666666666666,2400,384,4000,4000
10000,0.5,0.3,0.16,10.416666666666666,3000,480,5000,5000
10500,0.4,0.24000000000000002,0.16,10.416666666666666,2520,403.2,4200,4200
10500,0.5,0.3,0.16,10.416666666666666,3150,504,5250,5250
11000,0.4,0.24000000000000002,0.16,10.416666666666666,2640,422.40000000000003,4400,4400
11000,0.5,0.3,0.16,10.416666666666666,3300,528,5500,5500
11500,0.4,0.24000000000000002,0.16,10.416666666666666,2760,441.6,4600,4600
11500,0.5,0.3,0.16,10.416666666666666,3450,552,5750,5750
12000,0.4,0.24000000000000002,0.16,10.416666666666666,2880,460.8,4800,4800
12000,0.5,0.3,0.16,10.416666666666666,3600,576,6000,6000
12500,0.4,0.24000000000000002,0.16,10.416666666666666,3000.0000000000005,480.00000000000006,5000,5000
12500,0.5,0.3,0.16,10.416666666666666,3750,600,6250,6250
13000,0.4,0.24000000000000002,0.16,10.416666666666666,3120.0000000000005,499.2000000000001,5200,5200.000000000001
13000,0.5,0.3,0.16,10.416666666666666,3900,624,6500,6500
13500,0.4,0.24000000000000002,0.16,10.416666666666666,3240.0000000000005,518.4000000000001,5400,5400.000000000001
13500,0.5,0.3,0.16,10.416666666666666,4050,648,6750,6750
14000,0.4,0.24000000000000002,0.16,10.416666666666666,3360.0000000000005,537.6000000000001,5600,5600.000000000001
14000,0.5,0.3,0.16,10.416666666666666,4200,672,7000,7000
14500,0.4,0.24000000000000002,0.16,10.416666666666666,3480.0000000000005,556.8000000000001,5800,5800
14500,0.5,0.3,0.16,10.416666666666666,4350,696,7250,7250
15000,0.4,0.24000000000000002,0.16,10.416666666666666,3600.0000000000005,576.0000000000001,6000,6000.000000000001
15000,0.5,0.3,0.16,10.416666666666666,4500,720,7500,7500
15500,0.4,0.24000000000000002,0.16,10.416666666666666,3720.0000000000005,595.2,6200,6200
15500,0.5,0.3,0.16,10.416666666666666,4650,744,7750,7750
16000,0.4,0.24000000000000002,0.16,10.416666666666666,3840.0000000000005,614.4000000000001,6400,6400.000000000001
16000,0.5,0.3,0.16,10.416666666666666,4800,768,8000,8000
16500,0.4,0.24000000000000002,0.16,10.416666666666666,3960.0000000000005,633.6000000000001,6600,6600.000000000001
16500,0.5,0.3,0.16,10.416666666666666,4950,792,8250,8250
17000,0.4,0.24000000000000002,0.16,10.416666666666666,4080.0000000000005,652.8000000000001,6800,6800
17000,0.5,0.3,0.16,10.416666666666666,5100,816,8500,8500
17500,0.4,0.24000000000000002,0.16,10.416666666666666,4200,672,7000,7000
17500,0.5,0.3,0.16,10.416666666666666,5250,840,8750,8750
18000,0.4,0.24000000000000002,0.16,10.416666666666666,4320,691.2,7200,7200
18000,0.5,0.3,0.16,10.416666666666666,5400,864,9000,9000
18500,0.4,0.24000000000000002,0.16,10.416666666666666,4440,710.4,7400,7399.999999999999
18500,0.5,0.3,0.16,10.416666666666666,5550,888,9250,9250
19000,0.4,0.24000000000000002,0.16,10.416666666666666,4560,729.6,7600,7600
19000,0.5,0.3,0.16,10.416666666666666,5700,912,9500,9500
19500,0.4,0.24000000000000002,0.16,10.416666666666666,4680,748.8000000000001,7800,7800
19500,0.5,0.3,0.16,10.416666666666666,5850,936,9750,9750
20000,0.4,0.24000000000000002,0.16,10.416666666666666,4800,768,8000,8000
20000,0.5,0.3,0.16,10.416666666666666,6000,960,10000,10000
1000,0.5,0.28,0.17,10.504201680672267,280,47.6,500,499.99999999999994
1500,0.5,0.28,0.17,10.504201680672267,420.00000000000006,71.40000000000002,750,750.0000000000001
2000,0.5,0.28,0.17,10.504201680672267,560,95.2,1000,999.9999999999999
2500,0.5,0.28,0.17,10.504201680672267,700.0000000000001,119.00000000000003,1250,1250
3000,0.5,0.28,0.17,10.504201680672267,840.0000000000001,142.80000000000004,1500,1500.0000000000002
3500,0.5,0.28,0.17,10.504201680672267,980.0000000000001,166.60000000000002,1750,1750
4000,0.5,0.28,0.17,10.504201680672267,1120,190.4,2000,1999.9999999999998
4500,0.5,0.28,0.17,10.504201680672267,1260.0000000000002,214.20000000000005,2250,2250
5000,0.5,0.28,0.17,10.504201680672267,1400.0000000000002,238.00000000000006,2500,2500
5500,0.5,0.28,0.17,10.504201680672267,1540.0000000000002,261.80000000000007,2750,2750.0000000000005
6000,0.5,0.28,0.17,10.504201680672267,1680.0000000000002,285.6000000000001,3000,3000.0000000000005
6500,0.5,0.28,0.17,10.504201680672267,1820.0000000000002,309.40000000000003,3250,3250
7000,0.5,0.28,0.17,10.504201680672267,1960.0000000000002,333.20000000000005,3500,3500
7500,0.5,0.28,0.17,10.504201680672267,2100,357,3750,3749.9999999999995
8000,0.5,0.28,0.17,10.504201680672267,2240,380.8,4000,3999.9999999999995
8500,0.5,0.28,0.17,10.504201680672267,2380,404.6,4250,4249.999999999999
9000,0.5,0.28,0.17,10.504201680672267,2520.0000000000005,428.4000000000001,4500,4500
9500,0.5,0.28,0.17,10.504201680672267,2660.0000000000005,452.2000000000001,4750,4750
10000,0.5,0.28,0.17,10.504201680672267,2800.0000000000005,476.0000000000001,5000,5000
10500,0.5,0.28,0.17,10.504201680672267,2940.0000000000005,499.8000000000001,5250,5250
11000,0.5,0.28,0.17,10.504201680672267,3080.0000000000005,523.6000000000001,5500,5500.000000000001
11500,0.5,0.28,0.17,10.504201680672267,3220.0000000000005,547.4000000000001,5750,5750
12000,0.5,0.28,0.17,10.504201680672267,3360.0000000000005,571.2000000000002,6000,6000.000000000001
12500,0.5,0.28,0.17,10.504201680672267,3500.0000000000005,595.0000000000001,6250,6250
13000,0.5,0.28,0.17,10.504201680672267,3640.0000000000005,618.8000000000001,6500,6500
13500,0.5,0.28,0.17,10.504201680672267,3780.0000000000005,642.6000000000001,6750,6750
14000,0.5,0.28,0.17,10.504201680672267,3920.0000000000005,666.4000000000001,7000,7000
14500,0.5,0.28,0.17,10.504201680672267,4060.0000000000005,690.2000000000002,7250,7250
15000,0.5,0.28,0.17,10.504201680672267,4200,714,7500,7499.999999999999
15500,0.5,0.28,0.17,10.504201680672267,4340,737.8000000000001,7750,7749.999999999999
16000,0.5,0.28,0.17,10.504201680672267,4480,761.6,8000,7999.999999999999
16500,0.5,0.28,0.17,10.504201680672267,4620,785.4000000000001,8250,8250
17000,0.5,0.28,0.17,10.504201680672267,4760,809.2,8500,8499.999999999998
17500,0.5,0.28,0.17,10.504201680672267,4900.000000000001,833.0000000000002,8750,8750
18000,0.5,0.28,0.17,10.504201680672267,5040.000000000001,856.8000000000002,9000,9000
18500,0.5,0.28,0.17,10.504201680672267,5180.000000000001,880.6000000000003,9250,9250.000000000002
19000,0.5,0.28,0.17,10.504201680672267,5320.000000000001,904.4000000000002,9500,9500
19500,0.5,0.28,0.17,10.504201680672267,5460.000000000001,928.2000000000003,9750,9750.000000000002
20000,0.5,0.28,0.17,10.504201680672267,5600.000000000001,952.0000000000002,10000,10000
1000,0.4,0.19,0.2,10.526315789473683,190,38,400,399.99999999999994
1000,0.4,0.2,0.19,10.526315789473683,200,38,400,399.99999999999994
1500,0.4,0.19,0.2,10.526315789473683,285,57,600,599.9999999999999
1500,0.4,0.2,0.19,10.526315789473683,300,57,600,599.9999999999999
2000,0.4,0.19,0.2,10.526315789473683,380,76,800,799.9999999999999
2000,0.4,0.2,0.19,10.526315789473683,400,76,800,799.9999999999999
2500,0.4,0.19,0.2,10.526315789473683,475,95,1000,999.9999999999999
2500,0.4,0.2,0.19,10.526315789473683,500,95,1000,999.9999999999999
3000,0.4,0.19,0.2,10.526315789473683,570,114,1200,1199.9999999999998
3000,0.4,0.2,0.19,10.526315789473683,600,114,1200,1199.9999999999998
3500,0.4,0.19,0.2,10.526315789473683,665,133,1400,1399.9999999999998
3500,0.4,0.2,0.19,10.526315789473683,700,133,1400,1399.9999999999998
4000,0.4,0.19,0.2,10.526315789473683,760,152,1600,1599.9999999999998
4000,0.4,0.2,0.19,10.526315789473683,800,152,1600,1599.9999999999998
4500,0.4,0.19,0.2,10.526315789473683,855,171,1800,1799.9999999999998
4500,0.4,0.2,0.19,10.526315789473683,900,171,1800,1799.9999999999998
5000,0.4,0.19,0.2,10.526315789473683,950,190,2000,1999.9999999999998
5000,0.4,0.2,0.19,10.526315789473683,1000,190,2000,1999.9999999999998
5500,0.4,0.19,0.2,10.526315789473683,1045,209,2200,2200
5500,0.4,0.2,0.19,10.526315789473683,1100,209,2200,2200
6000,0.4,0.19,0.2,10.526315789473683,1140,228,2400,2399.9999999999995
6000,0.4,0.2,0.19,10.526315789473683,1200,228,2400,2399.9999999999995
6500,0.4,0.19,0.2,10.526315789473683,1235,247,2600,2599.9999999999995
6500,0.4,0.2,0.19,10.526315789473683,1300,247,2600,2599.9999999999995
7000,0.4,0.19,0.2,10.526315789473683,1330,266,2800,2799.9999999999995
7000,0.4,0.2,0.19,10.526315789473683,1400,266,2800,2799.9999999999995
7500,0.4,0.19,0.2,10.526315789473683,1425,285,3000,2999.9999999999995
7500,0.4,0.2,0.19,10.526315789473683,1500,285,3000,2999.9999999999995
8000,0.4,0.19,0.2,10.526315789473683,1520,304,3200,3199.9999999999995
8000,0.4,0.2,0.19,10.526315789473683,1600,304,3200,3199.9999999999995
8500,0.4,0.19,0.2,10.526315789473683,1615,323,3400,3399.9999999999995
8500,0.4,0.2,0.19,10.526315789473683,1700,323,3400,3399.9999999999995
9000,0.4,0.19,0.2,10.526315789473683,1710,342,3600,3599.9999999999995
9000,0.4,0.2,0.19,10.526315789473683,1800,342,3600,3599.9999999999995
9500,0.4,0.19,0.2,10.526315789473683,1805,361,3800,3799.9999999999995
9500,0.4,0.2,0.19,10.526315789473683,1900,361,3800,3799.9999999999995
10000,0.4,0.19,0.2,10.526315789473683,1900,380,4000,3999.9999999999995
10000,0.4,0.2,0.19,10.526315789473683,2000,380,4000,3999.9999999999995
10500,0.4,0.19,0.2,10.526315789473683,1995,399,4200,4200
10500,0.4,0.2,0.19,10.526315789473683,2100,399,4200,4200
11000,0.4,0.19,0.2,10.526315789473683,2090,418,4400,4400
11000,0.4,0.2,0.19,10.526315789473683,2200,418,4400,4400
11500,0.4,0.19,0.2,10.526315789473683,2185,437,4600,4600
11500,0.4,0.2,0.19,10.526315789473683,2300,437,4600,4600
12000,0.4,0.19,0.2,10.526315789473683,2280,456,4800,4799.999999999999
12000,0.4,0.2,0.19,10.526315789473683,2400,456,4800,4799.999999999999
12500,0.4,0.19,0.2,10.526315789473683,2375,475,5000,4999.999999999999
12500,0.4,0.2,0.19,10.526315789473683,2500,475,5000,4999.999999999999
13000,0.4,0.19,0.2,10.526315789473683,2470,494,5200,5199.999999999999
13000,0.4,0.2,0.19,10.526315789473683,2600,494,5200,5199.999999999999
13500,0.4,0.19,0.2,10.526315789473683,2565,513,5400,5399.999999999999
13500,0.4,0.2,0.19,10.526315789473683,2700,513,5400,5399.999999999999
14000,0.4,0.19,0.2,10.526315789473683,2660,532,5600,5599.999999999999
14000,0.4,0.2,0.19,10.526315789473683,2800,532,5600,5599.999999999999
14500,0.4,0.19,0.2,10.526315789473683,2755,551,5800,5799.999999999999
14500,0.4,0.2,0.19,10.526315789473683,2900,551,5800,5799.999999999999
15000,0.4,0.19,0.2,10.526315789473683,2850,570,6000,5999.999999999999
15000,0.4,0.2,0.19,10.526315789473683,3000,570,6000,5999.999999999999
15500,0.4,0.19,0.2,10.526315789473683,2945,589,6200,6199.999999999999
15500,0.4,0.2,0.19,10.526315789473683,3100,589,6200,6199.999999999999
16000,0.4,0.19,0.2,10.526315789473683,3040,608,6400,6399.999999999999
16000,0.4,0.2,0.19,10.526315789473683,3200,608,6400,6399.999999999999
16500,0.4,0.19,0.2,10.526315789473683,3135,627,6600,6599.999999999999
16500,0.4,0.2,0.19,10.526315789473683,3300,627,6600,6599.999999999999
17000,0.4,0.19,0.2,10.526315789473683,3230,646,6800,6799.999999999999
17000,0.4,0.2,0.19,10.526315789473683,3400,646,6800,6799.999999999999
17500,0.4,0.19,0.2,10.526315789473683,3325,665,7000,6999.999999999999
17500,0.4,0.2,0.19,10.526315789473683,3500,665,7000,6999.999999999999
18000,0.4,0.19,0.2,10.526315789473683,3420,684,7200,7199.999999999999
18000,0.4,0.2,0.19,10.526315789473683,3600,684,7200,7199.999999999999
18500,0.4,0.19,0.2,10.526315789473683,3515,703,7400,7399.999999999999
18500,0.4,0.2,0.19,10.526315789473683,3700,703,7400,7399.999999999999
19000,0.4,0.19,0.2,10.526315789473683,3610,722,7600,7599.999999999999
19000,0.4,0.2,0.19,10.526315789473683,3800,722,7600,7599.999999999999
19500,0.4,0.19,0.2,10.526315789473683,3705,741,7800,7799.999999999999
19500,0.4,0.2,0.19,10.526315789473683,3900,741,7800,7799.999999999999
20000,0.4,0.19,0.2,10.526315789473683,3800,760,8000,7999.999999999999
20000,0.4,0.2,0.19,10.526315789473683,4000,760,8000,7999.999999999999
1000,0.5,0.25,0.19,10.526315789473685,250,47.5,500,500.00000000000006
1000,0.6,0.3,0.19,10.526315789473685,300,57,600,600
1500,0.5,0.25,0.19,10.526315789473685,375,71.25,750,750
1500,0.6,0.3,0.19,10.526315789473685,450,85.5,900,900.0000000000001
2000,0.5,0.25,0.19,10.526315789473685,500,95,1000,1000.0000000000001
2000,0.6,0.3,0.19,10.526315789473685,600,114,1200,1200
2500,0.5,0.25,0.19,10.526315789473685,625,118.75,1250,1250
2500,0.6,0.3,0.19,10.526315789473685,750,142.5,1500,1500
3000,0.5,0.25,0.19,10.526315789473685,750,142.5,1500,1500
3000,0.6,0.3,0.19,10.526315789473685,900,171,1800,1800.0000000000002
3500,0.5,0.25,0.19,10.526315789473685,875,166.25,1750,1750.0000000000002
3500,0.6,0.3,0.19,10.526315789473685,1050,199.5,2100,2100
4000,0.5,0.25,0.19,10.526315789473685,1000,190,2000,2000.0000000000002
4000,0.6,0.3,0.19,10.526315789473685,1200,228,2400,2400
4500,0.5,0.25,0.19,10.526315789473685,1125,213.75,2250,2250
4500,0.6,0.3,0.19,10.526315789473685,1350,256.5,2700,2700
5000,0.5,0.25,0.19,10.526315789473685,1250,237.5,2500,2500
5000,0.6,0.3,0.19,10.526315789473685,1500,285,3000,3000
5500,0.5,0.25,0.19,10.526315789473685,1375,261.25,2750,2750
5500,0.6,0.3,0.19,10.526315789473685,1650,313.5,3300,3300.0000000000005
6000,0.5,0.25,0.19,10.526315789473685,1500,285,3000,3000
6000,0.6,0.3,0.19,10.526315789473685,1800,342,3600,3600.0000000000005
6500,0.5,0.25,0.19,10.526315789473685,1625,308.75,3250,3250.0000000000005
6500,0.6,0.3,0.19,10.526315789473685,1950,370.5,3900,3900.0000000000005
7000,0.5,0.25,0.19,10.526315789473685,1750,332.5,3500,3500.0000000000005
7000,0.6,0.3,0.19,10.526315789473685,2100,399,4200,4200
7500,0.5,0.25,0.19,10.526315789473685,1875,356.25,3750,3750.0000000000005
7500,0.6,0.3,0.19,10.526315789473685,2250,427.5,4500,4500
8000,0.5,0.25,0.19,10.526315789473685,2000,380,4000,4000.0000000000005
8000,0.6,0.3,0.19,10.526315789473685,2400,456,4800,4800
8500,0.5,0.25,0.19,10.526315789473685,2125,403.75,4250,4250
8500,0.6,0.3,0.19,10.526315789473685,2550,484.5,5100,5100
9000,0.5,0.25,0.19,10.526315789473685,2250,427.5,4500,4500
9000,0.6,0.3,0.19,10.526315789473685,2700,513,5400,5400
9500,0.5,0.25,0.19,10.526315789473685,2375,451.25,4750,4750
9500,0.6,0.3,0.19,10.526315789473685,2850,541.5,5700,5700
10000,0.5,0.25,0.19,10.526315789473685,2500,475,5000,5000
10000,0.6,0.3,0.19,10.526315789473685,3000,570,6000,6000
10500,0.5,0.25,0.19,10.526315789473685,2625,498.75,5250,5250
10500,0.6,0.3,0.19,10.526315789473685,3150,598.5,6300,6300
11000,0.5,0.25,0.19,10.526315789473685,2750,522.5,5500,5500
11000,0.6,0.3,0.19,10.526315789473685,3300,627,6600,6600.000000000001
11500,0.5,0.25,0.19,10.526315789473685,2875,546.25,5750,5750
11500,0.6,0.3,0.19,10.526315789473685,3450,655.5,6900,6900.000000000001
12000,0.5,0.25,0.19,10.526315789473685,3000,570,6000,6000
12000,0.6,0.3,0.19,10.526315789473685,3600,684,7200,7200.000000000001
12500,0.5,0.25,0.19,10.526315789473685,3125,593.75,6250,6250
12500,0.6,0.3,0.19,10.526315789473685,3750,712.5,7500,7500.000000000001
13000,0.5,0.25,0.19,10.526315789473685,3250,617.5,6500,6500.000000000001
13000,0.6,0.3,0.19,10.526315789473685,3900,741,7800,7800.000000000001
13500,0.5,0.25,0.19,10.526315789473685,3375,641.25,6750,6750.000000000001
13500,0.6,0.3,0.19,10.526315789473685,4050,769.5,8100,8100.000000000001
14000,0.5,0.25,0.19,10.526315789473685,3500,665,7000,7000.000000000001
14000,0.6,0.3,0.19,10.526315789473685,4200,798,8400,8400
14500,0.5,0.25,0.19,10.526315789473685,3625,688.75,7250,7250.000000000001
14500,0.6,0.3,0.19,10.526315789473685,4350,826.5,8700,8700
15000,0.5,0.25,0.19,10.526315789473685,3750,712.5,7500,7500.000000000001
15000,0.6,0.3,0.19,10.526315789473685,4500,855,9000,9000
15500,0.5,0.25,0.19,10.526315789473685,3875,736.25,7750,7750.000000000001
15500,0.6,0.3,0.19,10.526315789473685,4650,883.5,9300,9300
16000,0.5,0.25,0.19,10.526315789473685,4000,760,8000,8000.000000000001
16000,0.6,0.3,0.19,10.526315789473685,4800,912,9600,9600
16500,0.5,0.25,0.19,10.526315789473685,4125,783.75,8250,8250
16500,0.6,0.3,0.19,10.526315789473685,4950,940.5,9900,9900
17000,0.5,0.25,0.19,10.526315789473685,4250,807.5,8500,8500
17000,0.6,0.3,0.19,10.526315789473685,5100,969,10200,10200
17500,0.5,0.25,0.19,10.526315789473685,4375,831.25,8750,8750
17500,0.6,0.3,0.19,10.526315789473685,5250,997.5,10500,10500
18000,0.5,0.25,0.19,10.526315789473685,4500,855,9000,9000
18000,0.6,0.3,0.19,10.526315789473685,5400,1026,10800,10800
18500,0.5,0.25,0.19,10.526315789473685,4625,878.75,9250,9250
18500,0.6,0.3,0.19,10.526315789473685,5550,1054.5,11100,11100
19000,0.5,0.25,0.19,10.526315789473685,4750,902.5,9500,9500
19000,0.6,0.3,0.19,10.526315789473685,5700,1083,11400,11400
19500,0.5,0.25,0.19,10.526315789473685,4875,926.25,9750,9750
19500,0.6,0.3,0.19,10.526315789473685,5850,1111.5,11700,11700
20000,0.5,0.25,0.19,10.526315789473685,5000,950,10000,10000
20000,0.6,0.3,0.19,10.526315789473685,6000,1140,12000,12000
1000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,210.00000000000003,37.80000000000001,400,400.00000000000006
1000,0.4,0.27,0.14,10.58201058201058,270,37.800000000000004,400,400
1500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,315.00000000000006,56.70000000000002,600,600.0000000000001
1500,0.4,0.27,0.14,10.58201058201058,405,56.7,600,600
2000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,420.00000000000006,75.60000000000002,800,800.0000000000001
2000,0.4,0.27,0.14,10.58201058201058,540,75.60000000000001,800,800
2500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,525,94.50000000000001,1000,1000
2500,0.4,0.27,0.14,10.58201058201058,675,94.50000000000001,1000,1000
3000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,630.0000000000001,113.40000000000003,1200,1200.0000000000002
3000,0.4,0.27,0.14,10.58201058201058,810,113.4,1200,1200
3500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,735.0000000000001,132.30000000000004,1400,1400.0000000000002
3500,0.4,0.27,0.14,10.58201058201058,945.0000000000001,132.30000000000004,1400,1400.0000000000002
4000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,840.0000000000001,151.20000000000005,1600,1600.0000000000002
4000,0.4,0.27,0.14,10.58201058201058,1080,151.20000000000002,1600,1600
4500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,945.0000000000001,170.10000000000005,1800,1800.0000000000002
4500,0.4,0.27,0.14,10.58201058201058,1215,170.10000000000002,1800,1800
5000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,1050,189.00000000000003,2000,2000
5000,0.4,0.27,0.14,10.58201058201058,1350,189.00000000000003,2000,2000
5500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,1155,207.90000000000003,2200,2200
5500,0.4,0.27,0.14,10.58201058201058,1485,207.9,2200,2199.9999999999995
6000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,1260.0000000000002,226.80000000000007,2400,2400.0000000000005
6000,0.4,0.27,0.14,10.58201058201058,1620,226.8,2400,2400
6500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,1365.0000000000002,245.70000000000007,2600,2600.0000000000005
6500,0.4,0.27,0.14,10.58201058201058,1755.0000000000002,245.70000000000005,2600,2600
7000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,1470.0000000000002,264.6000000000001,2800,2800.0000000000005
7000,0.4,0.27,0.14,10.58201058201058,1890.0000000000002,264.6000000000001,2800,2800.0000000000005
7500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,1575.0000000000002,283.50000000000006,3000,3000
7500,0.4,0.27,0.14,10.58201058201058,2025.0000000000002,283.50000000000006,3000,3000
8000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,1680.0000000000002,302.4000000000001,3200,3200.0000000000005
8000,0.4,0.27,0.14,10.58201058201058,2160,302.40000000000003,3200,3200
8500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,1785.0000000000002,321.30000000000007,3400,3400.0000000000005
8500,0.4,0.27,0.14,10.58201058201058,2295,321.3,3400,3399.9999999999995
9000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,1890.0000000000002,340.2000000000001,3600,3600.0000000000005
9000,0.4,0.27,0.14,10.58201058201058,2430,340.20000000000005,3600,3600
9500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,1995.0000000000002,359.1000000000001,3800,3800.0000000000005
9500,0.4,0.27,0.14,10.58201058201058,2565,359.1,3800,3799.9999999999995
10000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,2100,378.00000000000006,4000,4000
10000,0.4,0.27,0.14,10.58201058201058,2700,378.00000000000006,4000,4000
10500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,2205,396.90000000000003,4200,4200
10500,0.4,0.27,0.14,10.58201058201058,2835,396.90000000000003,4200,4200
11000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,2310,415.80000000000007,4400,4400
11000,0.4,0.27,0.14,10.58201058201058,2970,415.8,4400,4399.999999999999
11500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,2415.0000000000005,434.70000000000016,4600,4600.000000000001
11500,0.4,0.27,0.14,10.58201058201058,3105,434.70000000000005,4600,4600
12000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,2520.0000000000005,453.60000000000014,4800,4800.000000000001
12000,0.4,0.27,0.14,10.58201058201058,3240,453.6,4800,4800
12500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,2625.0000000000005,472.5000000000001,5000,5000.000000000001
12500,0.4,0.27,0.14,10.58201058201058,3375,472.50000000000006,5000,5000
13000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,2730.0000000000005,491.40000000000015,5200,5200.000000000001
13000,0.4,0.27,0.14,10.58201058201058,3510.0000000000005,491.4000000000001,5200,5200
13500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,2835.0000000000005,510.3000000000001,5400,5400.000000000001
13500,0.4,0.27,0.14,10.58201058201058,3645.0000000000005,510.3000000000001,5400,5400.000000000001
14000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,2940.0000000000005,529.2000000000002,5600,5600.000000000001
14000,0.4,0.27,0.14,10.58201058201058,3780.0000000000005,529.2000000000002,5600,5600.000000000001
14500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,3045.0000000000005,548.1000000000001,5800,5800.000000000001
14500,0.4,0.27,0.14,10.58201058201058,3915.0000000000005,548.1000000000001,5800,5800.000000000001
15000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,3150.0000000000005,567.0000000000001,6000,6000
15000,0.4,0.27,0.14,10.58201058201058,4050.0000000000005,567.0000000000001,6000,6000
15500,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,3255.0000000000005,585.9000000000002,6200,6200.000000000001
15500,0.4,0.27,0.14,10.58201058201058,4185,585.9000000000001,6200,6200
16000,0.4,0.21000000000000002,0.18000000000000002,10.58201058201058,3360.0000000000005,604.8000000000002,6400,6400.000000000001
16000,0.4,0.27,0.14,10.58201058201058,4320,604.8000000000001,6400,6400
